2023-06-22 10:43:43 | info | f_socat | ('tcp', '127.0.0.1', '22')
2023-06-22 10:43:43 | info | f_amap | ('tcp', '127.0.0.1', '22')
2023-06-22 10:43:43 | info | f_http_code | ('tcp', '127.0.0.1', '22', 7)
2023-06-22 10:43:43 | info | f_socat | ('tcp', '127.0.0.1', '3389')
2023-06-22 10:43:50 | info | f_amap | ('tcp', '127.0.0.1', '3389')
2023-06-22 10:43:50 | info | f_http_code | ('tcp', '127.0.0.1', '3389', 7)
2023-06-22 10:43:50 | info | f_socat | ('tcp', '127.0.0.1', '5432')
2023-06-22 10:43:50 | info | f_amap | ('tcp', '127.0.0.1', '5432')
2023-06-22 10:43:50 | info | f_http_code | ('tcp', '127.0.0.1', '5432', 7)
2023-06-22 10:43:50 | info | f_socat | ('tcp', '127.0.0.1', '5433')
2023-06-22 10:43:50 | info | f_amap | ('tcp', '127.0.0.1', '5433')
2023-06-22 10:43:50 | info | f_http_code | ('tcp', '127.0.0.1', '5433', 7)
2023-06-22 10:43:50 | info | f_socat | ('tcp', '127.0.0.1', '5435')
2023-06-22 10:43:50 | info | f_amap | ('tcp', '127.0.0.1', '5435')
2023-06-22 10:43:50 | info | f_http_code | ('tcp', '127.0.0.1', '5435', 7)
2023-06-22 10:43:50 | info | f_socat | ('tcp', '127.0.0.1', '35145')
2023-06-22 10:43:50 | info | f_amap | ('tcp', '127.0.0.1', '35145')
2023-06-22 10:43:50 | info | f_http_code | ('tcp', '127.0.0.1', '35145', 7)
